iter,w1,w2,w3,w4,w5
1,0.993132566,1.403237601,0.704807264,0.305146524,1.875684506
2,0.995136726,0.703030098,1.380145033,0.257126151,2.294718786
3,0.986307337,0.766539747,1.204273814,0.502176156,1.798624613
4,0.98763929,1.376893136,0.739263938,0.46159388,0.432349358
5,0.968434137,0.760861541,0.511417691,2.345392396,0.305430184
6,0.980449102,0.677280434,0.703105186,2.124547201,0.234079582
7,0.990001715,1.347293443,0.819856571,0.543946152,0.299578477
8,0.990691904,0.645217158,0.550809108,0.29888016,0.227647357
9,0.971060251,0.706628739,0.685773761,2.195133058,0.172570285
10,0.9466771,1.308989905,1.465244902,2.863726512,0.26463996
11,0.966308344,0.65281691,0.684269524,0.391354819,0.436853895
12,0.977647499,0.803012164,1.297669785,2.202088727,0.24196776
13,0.992978203,1.266199502,0.719554417,2.180781938,1.923950758
14,0.977066471,0.595951188,1.421419981,0.417237219,1.936768724
15,0.957798899,0.800900635,0.60551728,0.330214531,0.233732854
16,0.982787086,0.731440064,0.693537594,2.122161004,2.045134627
17,0.945667813,0.754411956,1.113448116,2.251406317,1.960386251
18,0.93874133,0.788825722,1.194972497,2.143206906,1.54696978
19,0.98345497,0.521379691,1.259051906,1.651311902,0.43117668
20,0.947246399,1.285879094,1.253421173,2.030625932,0.216011195
21,0.929404777,0.639407775,1.25009473,2.235385105,0.288607707
22,0.945127034,1.275691372,1.237172383,1.996182126,1.817173086
23,0.951770288,0.654834579,1.355233484,1.715235484,2.030257463
24,0.912762457,0.618207532,1.357195936,2.135548381,1.704467541
25,0.90582178,0.748919228,0.652075209,1.991085469,0.196042997
26,0.897853878,0.80969672,1.230850187,0.363522118,1.650596361
27,0.954794898,0.630143345,0.623636128,0.510314327,0.294850362
28,0.938338812,0.80648491,0.645837973,0.333464017,2.237757601
29,0.897963862,1.132247876,1.216603436,1.965003616,0.305672049
30,0.956601967,0.624967814,1.283515492,2.238548798,0.329437845
31,0.962487791,1.327249047,1.272725306,0.225307162,0.217636472
32,0.952109289,0.551654033,0.619080283,2.125592823,2.005417881
33,0.956200063,0.59055147,0.575785373,0.250849183,0.308384725
34,0.934479116,0.594647396,1.176752805,0.50499979,2.179560655
35,0.911575622,0.657539139,0.612119558,1.92759681,0.208339392
36,0.900141824,1.304120302,0.590313548,0.318494673,0.188928307
37,0.991293778,1.308036107,0.573713786,0.391528689,1.991486292
38,0.916262752,1.358808064,1.214815198,0.445405236,0.423116771
39,0.905969749,1.358031238,0.612295153,1.903764541,1.738131028
40,0.888003584,0.638123532,1.307176331,2.043637808,0.121503097
41,0.910181127,0.803220953,0.736884768,0.381579524,0.24890789
42,0.905846012,0.739467352,0.605174431,2.101474325,0.268353256
43,0.928355072,0.721531754,0.638019801,1.960995585,1.428960665
44,0.896527735,1.28508751,1.26828513,1.898048411,0.288198312
45,0.857346404,0.539982497,0.659238009,0.320241693,0.434969337
46,0.826867123,0.804308903,0.558656216,1.618781996,0.176119727
47,0.861626359,0.57767789,0.600115433,0.239766678,2.170341128
48,0.991394453,1.144583588,1.205478778,2.078628663,1.581042809
49,0.87694045,1.188231798,1.196098636,0.236273347,0.221222012
50,0.80126172,0.716430736,1.301933042,1.910376797,1.608567713
51,0.882372108,0.755892992,1.326514504,1.887219084,1.675744457
52,0.884798319,0.781692377,1.179821349,2.050124911,0.358482846
53,0.937593712,0.708107088,0.600935097,0.264925509,1.404290385
54,0.847972915,0.66620386,0.569141688,1.97970924,2.051604358
55,0.799430057,1.130022484,1.215910478,0.306909238,1.77311183
56,0.855221778,0.632659786,0.611823518,1.767115337,0.317806375
57,0.814854229,0.630364355,0.620625603,1.569390579,1.688243563
58,0.813494499,0.827687765,0.709101813,2.151131947,0.170030042
59,0.758422406,1.145308612,1.091670477,0.357712147,1.728769199
60,0.902171623,0.70530592,1.171296133,2.014394619,2.177424834
61,0.855683285,0.511426914,0.572976927,2.093991501,0.223956521
62,0.831423859,1.1604677,0.653808046,2.000896532,1.625872884
63,0.864658675,1.252034232,1.207973475,1.940896304,1.646015111
64,0.861778912,0.659729655,1.035715038,0.323291932,1.604857348
65,0.726559094,1.157407098,0.704858886,2.343345186,1.928271627
66,0.789961647,0.661206207,0.588350226,0.304612623,2.020477216
67,0.802838557,1.172997844,1.148838787,0.265124121,1.647029107
68,0.857058627,1.096947641,1.150259488,0.304545788,1.811479227
69,0.841468182,0.584684684,1.099822763,0.382829053,2.025403905
70,0.839167532,0.63846309,1.279240556,2.08541583,1.827289001
71,0.770951895,1.071884341,1.122707519,1.419279354,0.391724301
72,0.867637411,0.5780647,1.180269501,0.331915014,1.494265299
73,0.834431043,1.086233332,1.206981766,1.414353975,0.258661423
74,0.950697617,1.14886578,0.569539413,1.910756098,0.197401131
75,0.980069966,0.991510079,0.742169874,0.279605099,1.806620312
76,0.849704312,0.538227353,0.969051299,0.261125526,0.15335309
77,0.762049849,0.99852685,0.529419314,0.543865102,1.264960004
78,1.013946876,1.006609522,0.48899423,1.897118959,1.857386523
79,0.815990784,0.687433997,0.680894545,1.717935916,0.200750369
80,0.785367311,0.842092494,1.015201534,1.7294951,1.792902997
81,0.769915676,0.674415866,1.139458455,2.279176912,1.533826774
82,0.778379536,1.180852482,0.53822381,1.706756926,0.241640282
83,0.761154019,1.107708274,1.100080425,1.728705619,1.333015575
