iter,w1,w2,w3,w4,w5
1,0.018177769338170,0.013467663124222,0.024461599993269,0.007339855242741,0.043804848721254
2,0.000392540764284,0.000300406900742,0.000513016666078,0.000176081995807,0.000876357771665
3,0.000018088963787,0.000014470890128,0.000022624272531,0.000009277069583,0.000035448389224
4,0.000001461036185,0.000001215602836,0.000001756972561,0.000000842836740,0.000002545024113
5,0.000000176489900,0.000000151651737,0.000000205486152,0.000000112110219,0.000000278938257
6,0.000000028706244,0.000000025308352,0.000000032571140,0.000000019689774,0.000000041976888
7,0.000000005854418,0.000000005267317,0.000000006508542,0.000000004266679,0.000000008050637
8,0.000000001424511,0.000000001302444,0.000000001558290,0.000000001089304,0.000000001865811
9,0.000000000399217,0.000000000369735,0.000000000431103,0.000000000317244,0.000000000502929
10,0.000000000125622,0.000000000117563,0.000000000134244,0.000000000102985,0.000000000153351
11,0.000000000043563,0.000000000041118,0.000000000046155,0.000000000036637,0.000000000051823
12,0.000000000016416,0.000000000015605,0.000000000017269,0.000000000014102,0.000000000019114
13,0.000000000006650,0.000000000006360,0.000000000006954,0.000000000005816,0.000000000007605
14,0.000000000002872,0.000000000002760,0.000000000002988,0.000000000002550,0.000000000003234
15,0.000000000001313,0.000000000001267,0.000000000001360,0.000000000001181,0.000000000001459
16,0.000000000000632,0.000000000000612,0.000000000000652,0.000000000000575,0.000000000000694
17,0.000000000000318,0.000000000000310,0.000000000000328,0.000000000000293,0.000000000000346
18,0.000000000000167,0.000000000000163,0.000000000000172,0.000000000000155,0.000000000000181
19,0.000000000000092,0.000000000000089,0.000000000000094,0.000000000000085,0.000000000000098
20,0.000000000000052,0.000000000000051,0.000000000000053,0.000000000000049,0.000000000000055
21,0.000000000000030,0.000000000000030,0.000000000000031,0.000000000000029,0.000000000000032
22,0.000000000000018,0.000000000000018,0.000000000000019,0.000000000000017,0.000000000000019
23,0.000000000000011,0.000000000000011,0.000000000000011,0.000000000000011,0.000000000000012
24,0.000000000000007,0.000000000000007,0.000000000000007,0.000000000000007,0.000000000000007
25,0.000000000000005,0.000000000000005,0.000000000000005,0.000000000000004,0.000000000000005
26,0.000000000000003,0.000000000000003,0.000000000000003,0.000000000000003,0.000000000000003
27,0.000000000000002,0.000000000000002,0.000000000000002,0.000000000000002,0.000000000000002
28,0.000000000000001,0.000000000000001,0.000000000000001,0.000000000000001,0.000000000000001
29,0.000000000000001,0.000000000000001,0.000000000000001,0.000000000000001,0.000000000000001
30,0.000000000000001,0.000000000000001,0.000000000000001,0.000000000000001,0.000000000000001
31,0.000000000000001,0.000000000000001,0.000000000000001,0.000000000000001,0.000000000000001

